n,key,url,classifier,category,spec_areas,confidence,rationale,summary,description,project,issuetype,components,labels,links,haiku_category,haiku_confidence
159,NODE-3151,https://jira.mongodb.org/browse/NODE-3151,opus,test_infrastructure,csfle,high,"Implement KMS TLS prose tests from DRIVERS-1560; per-driver spec test rollout, not a behavior fix.",Test that KMS TLS connections verify peer certificates,"*AC*
* Implement the two new prose tests in the linked drivers ticket
* File a separate bug if the tests do not pass",NODE,Improvement,Spec Test Coverage,prioritized|skipped-test|spec-fest,Issue split:DRIVERS-1560,not_relevant,medium
160,NODE-4110,https://jira.mongodb.org/browse/NODE-4110,opus,test_infrastructure,csfle,high,Issue split from DRIVERS-2017; adds ClientEncryption entity and Key Management ops to Unified Test Format runner.,Add ClientEncryption entity and Key Management API operations to Unified Test Format,"This ticket was split from {{DRIVERS-2017}}, please see that ticket for a detailed description. ",NODE,Improvement,,,Gantt End to End:NODE-4326|Issue split:DRIVERS-2017|Related:NODE-4315,not_relevant,medium
161,NODE-6242,https://jira.mongodb.org/browse/NODE-6242,opus,not_relevant,cursors,medium,"Restoring prior semantics of internal 'closed' property; API ergonomics, not a CRUD/cursors spec rule violation.",AbstractCursor closed property turns true when cursor is exhausted rather than when it has completely been iterated,"
h3. Use Case
As a Mongosh engineer
I want to know when all the documents from the cursor have been returned
So that I can inform the user if there is more to ""it""erate

h3. User Impact
* Breaking change, close used to change to true when there were no more documents, now it changes to true when the cursor id becomes zero

h3. Dependencies
* None

h3. Unknowns
* Internally we probably have logic that now depends on this.

h3. Acceptance Criteria

h4. Implementation Requirements
* Restore {{close}}'s prior behavior
* Move current behavior to new variable if necessary (possibly one of the other end states suffices already)

h4. Testing Requirements
* Test that close means there are no more documents

h4. Documentation Requirements
* Add API docs to all cursor properties but particularly ones that communicate state.
** {{closed}}, {{killed}}, {{id}} (make a note about zero/nullish)

h4. Follow Up Requirements
* NODE-5814
",NODE,Bug,,node-internal,Related:NODE-5814,driver_spec_nonconformance,medium
162,NODE-635,https://jira.mongodb.org/browse/NODE-635,opus,not_relevant,,high,"Driver 2.1.3 incompatible with Node 0.8; package.json engine compatibility issue, not a spec violation.",mongodb@2.1.3 not compatible with Node 0.8,"The 2.1.3 driver should either be fixed to work with Node 0.8, or marked as not compatible in package.json so it isn't selected for installation by npm.

To reproduce:

bash-3.2$ node -v
v0.8.28
bash-3.2$ npm install mongodb
...
bash-3.2$ npm ls
npm WARN package.json mongo-test@0.0.0 No repository field.
npm WARN package.json mongo-test@0.0.0 No readme data.
mongo-test@0.0.0 /private/tmp/mongo-test
└─┬ mongodb@2.1.3
  ├── es6-promise@3.0.2
  ├─┬ kerberos@0.0.17
  │ └── nan@2.0.9
  ├─┬ mongodb-core@1.2.31
  │ └── bson@0.4.20
  └─┬ readable-stream@1.0.31
    ├── core-util-is@1.0.2
    ├── inherits@2.0.1
    ├── isarray@0.0.1
    └── string_decoder@0.10.31

bash-3.2$ node
> require('mongodb')
TypeError: Cannot read property 'prototype' of undefined
    at Object.exports.inherits (util.js:538:43)
    at Object.<anonymous> (/private/tmp/mongo-test/node_modules/mongodb/lib/gridfs-stream/download.js:46:6)
    at Module._compile (module.js:449:26)
    at Object.Module._extensions..js (module.js:467:10)
    at Module.load (module.js:356:32)
    at Function.Module._load (module.js:312:12)
    at Module.require (module.js:362:17)
    at require (module.js:378:17)
    at Object.<anonymous> (/private/tmp/mongo-test/node_modules/mongodb/lib/gridfs-stream/index.js:2:30)
    at Module._compile (module.js:449:26)
> bash-3.2$",NODE,Bug,,external-user,,not_relevant,medium
163,PERL-683,https://jira.mongodb.org/browse/PERL-683,opus,not_relevant,,medium,"Feature request for extended JSON parsing into BSON::OID; API enhancement, not a spec deviation.",extended-json decoding feature request,"Could you pls include json parser that parses strings like '{$oid: 'xxx'}' to 'BSON::OID'.

Because right now using mongo db is hard. There is a method inflate_hash (but it doesn't work for anything except simple hash).

Could you also change the default behaviour of $BSON_EXTJSON because I expect the same behaviour of MongoDB's codecs.",PERL,Improvement,,,,not_relevant,high
164,PERL-918,https://jira.mongodb.org/browse/PERL-918,opus,test_infrastructure,retryable-writes,high,"Resync retryable writes spec tests; depends on DRIVERS/SPEC tickets, classic test-asset resync.",Resync retryable writes tests,Resync retryable writes spec tests.,PERL,Improvement,,,Depends:SPEC-1005|Depends:DRIVERS-503|Depends:DRIVERS-476|Duplicate:PERL-938,test_infrastructure,medium
165,PERL-972,https://jira.mongodb.org/browse/PERL-972,opus,not_relevant,,high,"Amend transaction example documentation in Perl driver; docs change, not driver behavior.",Amend transaction examples,PR: https://github.com/mongodb/mongo-perl-driver/pull/172/files#diff-0,PERL,Bug,Perl driver,pull-request,Depends:PERL-973|Depends:PERL-1038,not_relevant,medium
166,PHP-1360,https://jira.mongodb.org/browse/PHP-1360,opus,not_relevant,,low,Internal C-level comparison cleanup in pecl-mongo; no spec involvement; thin description.,Do not compare php_mongocursor_is_valid() result to FAILURE constant,,PHP,Bug,pecl-mongo,,,not_relevant,low
167,PHP-1414,https://jira.mongodb.org/browse/PHP-1414,opus,not_relevant,,high,"PHP-specific stream context handling for SSL peer cert capture; internal implementation, not a spec rule.",SSL peer verification should reference stream->context options,"Currently, the {{capture_peer_cert}} option is read before the stream is created (from {{options->ctx}}). We should move that between stream creation and crypto setup, and have it access {{stream->context}} instead. Additionally, {{php_stream_context_get_option()}} calls after crypto setup should check {{stream->context}} instead of {{options->ctx}}.",PHP,Bug,pecl-mongo,,Depends:PHP-1413|Related:PHP-1416,not_relevant,medium
168,PHPC-1139,https://jira.mongodb.org/browse/PHPC-1139,opus,not_relevant,auth,medium,Update Kerberos hostname canonicalization per DRIVERS-465/SPEC-1040 to align with auth spec.,Update algorithm for Kerberos hostname canonicalization,,PHPC,Improvement,,,Depends:CDRIVER-2537|Depends:PHPC-1174|Depends:CDRIVER-2551|Depends:SPEC-1040|Depends:DRIVERS-465,driver_spec_nonconformance,medium
169,PHPC-1420,https://jira.mongodb.org/browse/PHPC-1420,opus,not_relevant,,high,"Stack-protector abort in TLS stream init with replicaSet; native crash bug in libmongoc, no spec rule violated.",Using replicaSet triggers __fortify_fail() from /lib64/libc.so.6,"I've ran into issue where MongoDB connection from PHP works correctly, if only one host is specified in the connection string. However, trying to use replicaSet results in PHP process being aborted.

#0 0x00007f2f161b42c7 in raise () from /lib64/libc.so.6
#1 0x00007f2f161b59b8 in abort () from /lib64/libc.so.6
#2 0x00007f2f161f6e17 in __libc_message () from /lib64/libc.so.6
#3 0x00007f2f16295b67 in __fortify_fail () from /lib64/libc.so.6
#4 0x00007f2f16295b22 in __stack_chk_fail () from /lib64/libc.so.6
#5 0x00007f2efe76400a in mongoc_stream_tls_openssl_new (
 base_stream=base_stream@entry=0x55a498722700, 
 host=0x55a498230c98 ""2a01:4f8:173:1828::40"", opt=0x55a498231968, 
 client=<optimized out>)
 at /usr/src/debug/php-pecl-mongodb-1.6.0~alpha2/NTS/src/libmongoc/src/libmongoc/src/mongoc/mongoc-stream-tls-openssl.c:777
#6 0x00007f2efe762854 in mongoc_stream_tls_new_with_hostname (
 base_stream=base_stream@entry=0x55a498722700, host=<optimized out>, 
 opt=<optimized out>, client=client@entry=1)

(...)

 

I am able to reproduce the problem both with 1.6.0alpha2 and 1.5.5. 

 

Please take a look at the attached mongo debug log, and gdb backtrace.",PHPC,Bug,,,Depends:CDRIVER-3522|Related:CDRIVER-3522,driver_spec_nonconformance,medium
170,PHPC-1869,https://jira.mongodb.org/browse/PHPC-1869,opus,driver_spec_nonconformance,command-monitoring|auth,high,"CVE: drivers exposed auth-related data in command monitoring events; multi-driver spec nonconformance affecting C, PHP, Swift, Node, C++.",Redact sensitive commands from command monitoring,"*CVE ID:* CVE-2021-32050

*Title:* Some MongoDB Drivers may publish events containing authentication-related data to a command listener configured by an application

{*}Description{*}:

Some MongoDB Drivers may erroneously publish events containing authentication-related data to a command listener configured by an application. The published events may contain security-sensitive data when specific authentication-related commands are executed.

Without due care, an application may inadvertently expose this sensitive information, e.g., by writing it to a log file. This issue only arises if an application enables the command listener feature (this is not enabled by default).

This issue affects the MongoDB C Driver 1.0.0 prior to 1.17.7, MongoDB PHP Driver 1.0.0 prior to 1.9.2, MongoDB Swift Driver 1.0.0 prior to 1.1.1, MongoDB Node.js Driver 3.6 prior to 3.6.10, MongoDB Node.js Driver 4.0 prior to 4.17.0 and MongoDB Node.js Driver 5.0 prior to 5.8.0. This issue also affects users of the MongoDB C++ Driver dependent on the C driver 1.0.0 prior to 1.17.7 (C++ driver prior to 3.7.0).

*CVSS Score:* 4.2

CVSS:3.1/AV:L/AC:L/PR:H/UI:R/S:U/C:H/I:N/A:N 

*CWE ID:* CWE-200 Exposure of Sensitive Information to an Unauthorized Actor 

*Exact affected versions:*
MongoDB C Driver 1.0.0 prior to 1.17.7

MongoDB C++ Driver 3.0.0 prior to 3.7.0

MongoDB PHP Driver 1.0.0 prior to 1.9.2

MongoDB Swift Driver 1.0.0 prior to 1.1.1

MongoDB Node.js Driver 3.6 prior to  3.6.10

MongoDB Node.js Driver 4.0 prior to 4.17.0

MongoDB Node.js Driver 5.0 prior to 5.8.0 

*Is fixed version available:*  Yes

*How the issue was discovered:* Internally",PHPC,Bug,,,Depends:CDRIVER-3797|Depends:CDRIVER-4038|Depends:CDRIVER-4000|Depends:PHPLIB-664|Depends:PHPLIB-676|Depends:SECURITY-733,driver_spec_nonconformance,medium
171,PHPC-1937,https://jira.mongodb.org/browse/PHPC-1937,opus,not_relevant,,medium,"Make ReadPreference argument optional and default to primary; PHP API ergonomics, not a spec requirement.",ReadPreference for Manager::selectServer() should be optional and default to primary,"If the read preference argument for [{{mongoc_client_select_server}}|http://mongoc.org/libmongoc/1.18.0/mongoc_client_select_server.html] is null, libmongoc will attempt select a primary by default. There is no reason that {{Manager::selectServer()}} cannot do the same.

As an added benefit, this would simplify many uses of this method within PHPC and PHPLIB, which commonly construct a primary read preference.",PHPC,Improvement,,neweng,,driver_spec_nonconformance,high
172,PHPC-2496,https://jira.mongodb.org/browse/PHPC-2496,opus,not_relevant,,high,"Stub file inheritance mismatch in PHP exception class hierarchy; documentation/stub fix, not driver behavior.",WriteException stub should inherit ServerException,"According to the [WriteException docs|https://www.php.net/manual/en/class.mongodb-driver-exception-writeexception.php], the class extends ServerException; however, the corresponding stub in the 1.x branch suggests that it extends RuntimeException. The actual implementation in [WriteException.c|https://github.com/mongodb/mongo-php-driver/blob/v1.x/src/MongoDB/Exception/WriteException.c] correctly uses ServerException.

This issue persisted in [BulkWriteException.stub.php|https://github.com/mongodb/mongo-php-driver/blob/v2.x/src/MongoDB/Exception/BulkWriteException.stub.php] after removing WriteException in PHPC-2348.

",PHPC,Bug,,,Related:PHPC-2348|Related:PHPC-2497,not_relevant,medium
173,PHPC-299,https://jira.mongodb.org/browse/PHPC-299,opus,not_relevant,,high,Compiler warning about const qualifier; build/internal issue.,Annoying compiler warning,"{quote}
/home/bjori/Sources/phongo/php_phongo.c:1876:2: warning: initialization discards ‘const’ qualifier from pointer target type   STD_PHP_INI_ENTRY(PHONGO_DEBUG_INI, PHONGO_DEBUG_INI_DEFAULT, PHP_INI_ALL, OnUpdateString, debug, zend_mongodb_globals, mongodb_globals)
  ^
/home/bjori/Sources/phongo/php_phongo.c:1876:2: warning: initialization discards ‘const’ qualifier from pointer target type
{quote}",PHPC,Bug,,,,not_relevant,high
174,PHPC-369,https://jira.mongodb.org/browse/PHPC-369,opus,not_relevant,,high,PHP5-to-PHP7 zend_object struct layout migration; language-binding internal refactor.,Split object structures and retrieval,"In PHP7 custom object fields need to be declared first in the structures as apposed to being last in PHP5.

This also means casting zend_object is no longer possible and rather then calling zend_object_store_get_object() and cast the result, we need to do a quick XtOffsetOf dance.",PHPC,Improvement,,,,not_relevant,high
175,PHPC-384,https://jira.mongodb.org/browse/PHPC-384,opus,not_relevant,,low,"Thin description about php_stream resource ids; PHP-internal, no spec involvement.",php_stream's no longer have resource ids,,PHPC,Improvement,,,,not_relevant,high
176,PHPLIB-441,https://jira.mongodb.org/browse/PHPLIB-441,opus,not_relevant,change-streams,high,"ChangeStream iterator key not advanced when resuming; PHP Iterator API quirk, not a change-streams spec deviation.",ChangeStream key offset is not advanced when resuming,"When originally implementing the change stream spec test runner, I iterated the change stream using [{{iterator_to_array()}}|https://php.net/iterator_to_array]. This would normally be OK for the purposes of the spec test, since the runner opens a change stream, perform all operations in sequence, and finally iterates the change stream to collected events for those operations. As there is no need to watch the change stream for future events, it's acceptable that {{iterator_to_array()}} stops when {{valid()}} returns false (i.e. no more events available).

The default behavior of {{iterator_to_array()}} preserves keys from the iterator. In the test where the change stream resumes after a {{getMore}} failure, this results in the original event (returned by {{aggregate}}) being overwritten. Since a ChangeStream only replaces its inner iterator when resuming, I don't believe this is caused by the {{$key}} property being reset (the ChangeStream instance remains the same). Rather, I think the issue is that we're not incrementing {{$key}} properly.

Although we can work around this by the {{$use_keys}} option for {{iterator_to_array()}}, it is hardly intuitive and it'd be preferable to fix the increment behavior.


",PHPLIB,Bug,,,Depends:PHPLIB-416|Related:PHPLIB-454|Related:PHPLIB-442|Related:DOCSP-54022|Related:PHPLIB-366,test_infrastructure,medium
177,PHPLIB-761,https://jira.mongodb.org/browse/PHPLIB-761,opus,test_infrastructure,transactions|sessions,high,Refactor unified test runner to use disableClientPersistence option; test runner plumbing.,Disable client persistence when creating clients in test runners,"The unified test runner currently injects a unique connection string option into each client it creates in order to ensure libmongoc clients are not re-used (see: [{{MongoDB\Tests\UnifiedSpecTests\Context::createClient()}}|https://github.com/mongodb/mongo-php-library/blob/1.12.0/tests/UnifiedSpecTests/Context.php#L297-L300]). This is needed for {{txnNumber}} assertions, since spec tests expect those to start from {{1}} (not the case if a persistent client is re-used). There is a TODO item to remove that in favor of the {{disableClientPersistence}} option from PHPC-1645. Doing so would likely conserve memory usage since clients would not accumulate throughout the test suite.

A similar change can also be made in the legacy transaction spec test runner, which added a random ""p"" URI option (see: [{{MongoDB\Tests\SpecTests\fromTransactions()}}|https://github.com/mongodb/mongo-php-library/blob/1.12.0/tests/SpecTests/Context.php#L242-L245]).",PHPLIB,Improvement,Tests,,Depends:PHPC-1645,test_infrastructure,high
178,PHPLIB-915,https://jira.mongodb.org/browse/PHPLIB-915,opus,driver_spec_nonconformance,sessions|causal-consistency,medium,Per-driver implementation of DRIVERS-2369 directive to disable causal consistency in implicit sessions; aligns driver to spec.,Disable causal consistency in implicit sessions,"This ticket was split from {{DRIVERS-2369}}, please see that ticket for a detailed description. ",PHPLIB,Bug,Causal Consistency|Retryability|Sessions,neweng,Issue split:DRIVERS-2369|Related:PHPLIB-1132,driver_spec_nonconformance,high
179,PYTHON-2191,https://jira.mongodb.org/browse/PYTHON-2191,opus,not_relevant,,high,"Coverity-noticed double free in C extension buffer_grow; internal memory bug, no spec rule.",Double free in C extensions when realloc fails in buffer_grow,"When buffer_grow’s realloc call fails it frees the buffer:
https://github.com/mongodb/mongo-python-driver/blob/3.10.1/bson/buffer.c#L82

This causes a double free later on ([for example in _write_dict_to_bson|https://github.com/mongodb/mongo-python-driver/blob/3.10.1/bson/_cbsonmodule.c#L1817]) because the buffer struct is not ""owned"" by buffer_grow. A fix should ensure that the caller of buffer_grow can always free the buffer, even on error.

Noticed by Coverity.",PYTHON,Bug,,,,avoidable_by_spec_conformance,medium
180,PYTHON-2320,https://jira.mongodb.org/browse/PYTHON-2320,opus,not_relevant,,high,Jython SSLSocket missing 'channel' attribute breaks poll-based monitor heartbeat; Python platform compatibility bug.,Jython SSL + poll fails with AttributeError: 'SSLSocket' object has no attribute 'channel',"It's no longer possible to reliably connect to Atlas clusters with Jython 2.7.0. Each SDAM monitor heartbeat fails with this error:
{code}
>>> Exception in thread pymongo_server_monitor_thread:Traceback (most recent call last):
  File ""/Users/shane/jython2.7.0/Lib/threading.py"", line 222, in _Thread__bootstrap
    self.run()
  File ""/Users/shane/jython2.7.0/Lib/threading.py"", line 213, in run
    self._target(*self._args, **self._kwargs)
  File ""pymongo/periodic_executor.py"", line 125, in _run
    if not self._target():
  File ""pymongo/monitor.py"", line 46, in target
    monitor._run()
  File ""pymongo/monitor.py"", line 170, in _run
    self._server_description = self._check_server()
  File ""pymongo/monitor.py"", line 170, in _run
    self._server_description = self._check_server()
  File ""pymongo/monitor.py"", line 170, in _run
    self._server_description = self._check_server()
  File ""pymongo/monitor.py"", line 206, in _check_server
    return self._check_once()
  File ""pymongo/monitor.py"", line 206, in _check_server
    return self._check_once()
  File ""pymongo/monitor.py"", line 243, in _check_once
    response, round_trip_time = self._check_with_socket(sock_info)
  File ""pymongo/monitor.py"", line 274, in _check_with_socket
    response = conn._ismaster(cluster_time, None, None, None)
  File ""pymongo/pool.py"", line 579, in _ismaster
    doc = self.command('admin', cmd, publish_events=False,
  File ""pymongo/pool.py"", line 699, in command
    self._raise_connection_failure(error)
  File ""pymongo/pool.py"", line 683, in command
    return command(self, dbname, spec, slave_ok,
  File ""pymongo/network.py"", line 150, in command
    reply = receive_message(sock_info, request_id)
  File ""pymongo/network.py"", line 195, in receive_message
    length, _, response_to, op_code = _UNPACK_HEADER(
  File ""pymongo/network.py"", line 265, in _receive_data_on_socket
    wait_for_read(sock_info, deadline)
  File ""pymongo/network.py"", line 265, in _rec",PYTHON,Bug,,,Problem/Incident:PYTHON-2123|Related:PYTHON-498,test_infrastructure,medium
181,PYTHON-2443,https://jira.mongodb.org/browse/PYTHON-2443,opus,not_relevant,,high,"TypeError multiplying None timeout by 1000 in pyOpenSSL socket select; Python-specific implementation bug, not a spec rule.",TypeError when using pyOpenSSL with a socket timeout of None,"Reported in https://github.com/mongodb/mongo-python-driver/pull/526 MongoClient can raise an unexpected TypeError when using pyOpenSSL with a socket timeout of None:
{code:python}
Traceback (most recent call last):
  File ""<REDACTED>/manage.py"", line 39, in <module>
    execute_from_command_line(sys.argv)
  File ""<REDACTED>/dist-packages/django/core/management/__init__.py"", line 364, in execute_from_command_line
    utility.execute()
  File ""<REDACTED>/dist-packages/django/core/management/__init__.py"", line 356, in execute
    self.fetch_command(subcommand).run_from_argv(self.argv)
  File ""<REDACTED>/dist-packages/django/core/management/base.py"", line 283, in run_from_argv
    self.execute(*args, **cmd_options)
  File ""<REDACTED>/dist-packages/django/core/management/base.py"", line 330, in execute
    output = self.handle(*args, **options)
  File ""<REDACTED>.py"", line 365, in handle
    sources += <REDACTED>.objects.filter(**query)[:limit]
  File ""<REDACTED>/dist-packages/mongoengine/queryset/manager.py"", line 37, in __get__
    queryset = queryset_class(owner, owner._get_collection())
  File ""<REDACTED>/dist-packages/mongoengine/document.py"", line 211, in _get_collection
    db = cls._get_db()
  File ""<REDACTED>/dist-packages/mongoengine/document.py"", line 189, in _get_db
    return get_db(cls._meta.get(""db_alias"", DEFAULT_CONNECTION_NAME))
  File ""<REDACTED>/dist-packages/mongoengine/connection.py"", line 369, in get_db
    conn_settings[""username""], conn_settings[""password""], **auth_kwargs
  File ""<REDACTED>/dist-packages/pymongo/database.py"", line 1495, in authenticate
    connect=True)
  File ""<REDACTED>/dist-packages/pymongo/mongo_client.py"", line 780, in _cache_credentials
    with server.get_socket(all_credentials) as sock_info:
  File ""<REDACTED>/contextlib.py"", line 17, in __enter__
    return self.gen.next()
  File ""<REDACTED>/dist-packages/pymongo/pool.py"", line 1225, in get_socket
    sock_info = self._get_socket(all_credenti",PYTHON,Bug,,,Problem/Incident:PYTHON-2040,avoidable_by_spec_conformance,medium
182,PYTHON-2518,https://jira.mongodb.org/browse/PYTHON-2518,opus,not_relevant,,high,"SON.keys() returns list rather than dict_keys; Python-specific API compatibility issue, not a BSON spec rule.",SON class should be compatible with Python 3's OrderedDict API,"The problem is that in all the cases of the normal `dict` or `OrderedDict` the returned object has a `set` interface, so this code should work for any `dict`:

```
from six import viewkeys
viewkeys(d) - \{'a', 'b'}
```

The above code fails for Python3 with:

```
TypeError: unsupported operand type(s) for -: 'list' and 'set'
```

When using the `six.viewkeys()` it maps it to `viewkeys() for Python2 and `keys()` for Python3.

In Python2 `dict().viewkeys()` returns `dict_keys([])`.
In Python3 `dict().keys()` also returns `dict_keys([])`.


For Python2: `OrderedDict().viewkeys()` returns `KeysView(OrderedDict())`
For Python3: ``OrderedDict().keys()` returns `odict_keys([])`

The `SON` class returns `list` for `SON().keys()`.",PYTHON,Bug,BSON,,Related:PYTHON-2501|Related:PYTHON-2884,not_relevant,medium
183,PYTHON-4781,https://jira.mongodb.org/browse/PYTHON-4781,opus,not_relevant,,high,OSError importing asyncio in evergreen OIDC auth helper script on Windows; CI/tooling failure.,OSError on Windows when importing asyncio,"{code}
[2024/09/20 11:42:54.221] Traceback (most recent call last):
[2024/09/20 11:42:54.221]   File ""Z:\data\mci\401ea096db7a62eebb183f2f608bede6\drivers-tools\.evergreen\auth_aws\lib\aws_handle_oidc_creds.py"", line 12, in <module>
[2024/09/20 11:42:54.221]     from pyop.authz_state import AuthorizationState
[2024/09/20 11:42:54.221]   File ""Z:\data\mci\401ea096db7a62eebb183f2f608bede6\drivers-tools\.evergreen\auth_aws\authawsvenv\Lib\site-packages\pyop\authz_state.py"", line 14, in <module>
[2024/09/20 11:42:54.221]     from .storage import StatelessWrapper
[2024/09/20 11:42:54.221]   File ""Z:\data\mci\401ea096db7a62eebb183f2f608bede6\drivers-tools\.evergreen\auth_aws\authawsvenv\Lib\site-packages\pyop\storage.py"", line 18, in <module>
[2024/09/20 11:42:54.221]     import pymongo
[2024/09/20 11:42:54.221]   File ""Z:\data\mci\401ea096db7a62eebb183f2f608bede6\drivers-tools\.evergreen\auth_aws\authawsvenv\Lib\site-packages\pymongo\__init__.py"", line 91, in <module>
[2024/09/20 11:42:54.221]     from pymongo.asynchronous.mongo_client import AsyncMongoClient
[2024/09/20 11:42:54.221]   File ""Z:\data\mci\401ea096db7a62eebb183f2f608bede6\drivers-tools\.evergreen\auth_aws\authawsvenv\Lib\site-packages\pymongo\asynchronous\mongo_client.py"", line 62, in <module>
[2024/09/20 11:42:54.221]     from pymongo import _csot, common, helpers_shared, uri_parser
[2024/09/20 11:42:54.221]   File ""Z:\data\mci\401ea096db7a62eebb183f2f608bede6\drivers-tools\.evergreen\auth_aws\authawsvenv\Lib\site-packages\pymongo\uri_parser.py"", line 37, in <module>
[2024/09/20 11:42:54.221]     from pymongo.client_options import _parse_ssl_options
[2024/09/20 11:42:54.221]   File ""Z:\data\mci\401ea096db7a62eebb183f2f608bede6\drivers-tools\.evergreen\auth_aws\authawsvenv\Lib\site-packages\pymongo\client_options.py"", line 36, in <module>
[2024/09/20 11:42:54.221]     from pymongo.ssl_support import get_ssl_context
[2024/09/20 11:42:54.221]   File ""Z:\data\mci\401ea096db7a62eebb183f2f608bed",PYTHON,Bug,,,,cross_driver_inconsistency,medium
184,PYTHON-5706,https://jira.mongodb.org/browse/PYTHON-5706,opus,test_infrastructure,server-selection,high,Issue split from DRIVERS-3380 to add spec test for server deprioritization; test infrastructure addition.,Add spec test for server deprioritization with changed ServerDescription,"This ticket was split from {{DRIVERS-3380}}, please see that ticket for a detailed description. ",PYTHON,Improvement,Server Selection,spec-compliance,Issue split:DRIVERS-3380,not_relevant,medium
185,RUBY-1241,https://jira.mongodb.org/browse/RUBY-1241,opus,not_relevant,sdam,medium,Driver caches resolved IPs of replica members instead of hostnames in Kubernetes; behavior question not covered by SDAM spec rule.,Mongo ruby driver caches unreachable replica ipaddresses,"*TL;DR :* mongodb ruby driver tries to communicate with cluster members using their ip address which may become invalid over time, as the cluster topology evolves; after a while, existing clients cannot communicate with the cluster anymore ; caching the host name instead of the volatile ip address would fix the issue.

I am running a mongodb replicaSet as kubernetes statefulset. In this setup, each member of cluster member runs in a ""pod"" (a docker container); each time I recreate the ""pod"", its host name (and DNS host) remains stable but the pod ip address changes.

In other words, a cluster of 3 replicas may be formed of:
* pod1 (hostname = mongodb-0.mycluster, ip=10.128.30.39)   # <-- arbitrary address in 10.128.x.x
* pod2 (hostname = mongodb-1.mycluster, ip=10.129.31.50)   # <-- arbitrary address in 10.129.x.x
* pod3 (hostname = mongodb-2.mycluster, ip=10.130.50.19)   # <-- arbitrary address in 10.130.x.x

If I delete the first pod, kubernetes will recreate it and the cluster will look like this:
* pod1 (hostname = mongodb-0.mycluster, ip=10.128.10.79)    # <--- same hostname, different ipaddress
* pod2 (hostname = mongodb-1.mycluster, ip=10.129.31.50)    # <--- previous hostname & ipaddress
* pod3 (hostname = mongodb-2.mycluster, ip=10.130.50.19)    # <--- previous hostname & ipaddress

Let's explore with in Ruby console:

{code:ruby}
puts ENV['MONGODB_URL']
# => mongodb://myapp-api:REDACTED@mongodb.backends:27017/db2?replicaSet=rs0
client = Mongo::Client.new ENV['MONGODB_URL']
client.cluster.servers.each do |s|
  puts ""#{s.address} => #{s.address.instance_variable_get(:@resolver).host}""
end
# mongodb-2.mongodb.backends.svc.cluster.local:27017 => 10.131.0.14 # <-- volatile ip
# mongodb-1.mongodb.backends.svc.cluster.local:27017 => 10.130.0.15 # <-- volatile ip
# mongodb-0.mongodb.backends.svc.cluster.local:27017 => 10.129.0.19 # <-- volatile ip
# now, let's use the client
client.collections.count
# => 8
# lets' do the sa",RUBY,Bug,Replica Set,,Related:RUBY-1285|Related:RUBY-1601|Related:RUBY-1486,not_relevant,medium
186,RUBY-1454,https://jira.mongodb.org/browse/RUBY-1454,opus,test_infrastructure,,high,Adds global Ruby test-suite client registry to suspend background monitors during SDAM tests; test harness change.,Global registry of clients in test suite,"When we are testing SDAM, it is important to not have background threads from global clients and clients created by previously executing tests get in the way of the current test. This requires at a minimum suspending background monitoring of all outstanding clients. As there is utility in sharing client instances between tests, this ticket proposes to:

1. Add a global registry (glorified array) of mongo clients.
2. Replace all Mongo::Client.new calls with a helper invocation that adds the created client to the registry.
3. Add a helper method that kills background monitoring threads of all active clients. I believe calling `disconnect` would accomplish this.
4. Adds a helper method that reinstates background monitoring threads, such as by calling `reconnect`.

This also paves way for automatically cleaning up all clients created by individual test cases, if we mark the global clients specially.",RUBY,Improvement,Tests,,Related:RUBY-1455,not_relevant,high
187,RUBY-1654,https://jira.mongodb.org/browse/RUBY-1654,opus,not_relevant,transactions|retryable-writes|write-concern,high,Implement w:majority retry on commitTransaction per DRIVERS-601/SPEC-1185; transactions spec compliance.,Implement w:majority when retrying commitTransaction,,RUBY,Improvement,Spec Comp,size-small,Depends:SPEC-1185|Depends:DRIVERS-601|Duplicate:RUBY-1689,driver_spec_nonconformance,high
188,RUBY-1863,https://jira.mongodb.org/browse/RUBY-1863,opus,test_infrastructure,cmap,high,Update CMAP pool creation tests to ignore ConnectionReadyEvent per DRIVERS-673; spec test runner change.,Ignore ConnectionReadyEvent in CMAP pool creation test,See DRIVERS-673 for details.,RUBY,Bug,,,Depends:SPEC-1311|Depends:DRIVERS-673,cross_driver_inconsistency,medium
189,RUBY-1936,https://jira.mongodb.org/browse/RUBY-1936,opus,test_infrastructure,cmap,high,Ruby implementation of SPEC-1365 to include address in cmap event assertions; spec test update.,Include address in all cmap spec tests' event assertions,This is the Ruby implementation of https://jira.mongodb.org/browse/SPEC-1365.,RUBY,Improvement,,,Related:SPEC-1365,avoidable_by_spec_conformance,medium
